PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[10*][C@]([H])(N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c([30*])c([H])c12)C([H])([H])[H],[H]c1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])C([H])([H])C([H])([H])[H])c2c1[H],-2.7009094464328647,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[20*]C([24*])(F)F,[H]C([H])(F)F,1.0856512198886943,TRP35,
6SCM_L7H_A,[20*]C([25*])(F)F,[H]C([H])(F)F,1.046430298418223,TRP35,
6SCM_L7H_A,[20*]C([26*])(F)F,[H]C([H])(F)F,1.0677516839100796,TRP35,
6SCM_L7H_A,[4*]c1nc([5*])nc2c([H])c(O[6*])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c([H])nc([H])nc2c1[H],-2.684182649663659,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc([5*])nc2c([H])c(OC([H])([H])[H])c(O[15*])c([H])c12,[H]Oc1c(OC([H])([H])[H])c([H])c2nc([H])nc([H])c2c1[H],-1.3001177374653738,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc([5*])nc2c([H])c([31*])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1nc([H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2n1,-2.2652657652709682,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc([5*])nc2c([H])c(OC([H])([H])[H])c([30*])c([H])c12,[H]c1nc([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2n1,-0.9600023982858491,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc(C([H])([H])[H])nc2c([H])c(O[6*])c(O[15*])c([H])c12,[H]Oc1c(O[H])c([H])c2c([H])nc(C([H])([H])[H])nc2c1[H],-2.372082682785087,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc(C([H])([H])[H])nc2c([H])c(O[6*])c([30*])c([H])c12,[H]Oc1c([H])c([H])c2c([H])nc(C([H])([H])[H])nc2c1[H],-2.0319673436055625,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[3*]N([H])[C@@]([10*])([18*])[H],[H]N([H])C([H])([H])[H],-0.4497128495163119,,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([18*])([H])c1c([H])c([28*])c([H])c(C(F)(F)F)c1[H],[H]c1c([H])c(C(F)(F)F)c([H])c(C([H])([H])N([H])[H])c1[H],2.8482684635162374,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([18*])([H])c1c([H])c([21*])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])([H])N([H])[H])c1[H],0.9975384700261396,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([24*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])N([H])[H])c([H])c1C([H])(F)F,2.083189689914833,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([25*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])N([H])[H])c([H])c1C([H])(F)F,2.0439687684443624,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([26*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])N([H])[H])c([H])c1C([H])(F)F,2.065290153936219,TRP35,TRP35
6SCM_L7H_A,[4*]c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[15*])c([H])c12,[H]Oc1c([H])c([H])c2nc(C([H])([H])[H])nc([H])c2c1[H],-1.953165798392396,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc(C([H])([H])[H])nc2c([H])c([31*])c([30*])c([H])c12,[H]c1c([H])c([H])c2c([H])nc(C([H])([H])[H])nc2c1[H],-1.6130504592128712,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c([21*])c([H])c([28*])c1[H])C([H])([H])[H],[H]c1c([H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1[H],0.014845389235242645,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c([28*])c([H])c(C([24*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c1[H],1.1004966091239365,TRP35,TRP35
